State Name,FINGER MILLET YIELD (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),AVERAGE RAINFALL (Millimeters),AVERAGE TEMPERATURE (Centigrate),AVERAGE PERCIPITATION (Millimeters)
Chhattisgarh,0.0,1.3,1.99,0.24,368.725,25.07833333,253.0716667
Chhattisgarh,0.0,1.4,3.38,0.37,275.125,25.82666667,220.0483333
Chhattisgarh,0.0,1.93,3.7,0.66,288.7,25.98333333,209.5883333
Chhattisgarh,0.0,1.44,3.7,0.27,269.4,26.13166667,181.5316667
Chhattisgarh,0.0,1.91,4.1,0.49,420.675,25.53833333,238.385
Chhattisgarh,0.0,1.9,4.09,0.48,301.925,25.94333333,215.81
Chhattisgarh,0.0,1.91,4.1,0.49,289.625,26.23,168.5883333
Chhattisgarh,0.0,2.56,8.44,1.02,273.05,26.22833333,153.4016667
Chhattisgarh,0.0,2.68,4.51,0.72,201.275,26.64166667,184.7216667
Chhattisgarh,299.11,3.88,6.55,1.63,314.15,25.68,210.28
Chhattisgarh,229.38,2.89,7.99,0.99,305.2345745,25.675,207.6666667
Chhattisgarh,306.28,4.2,10.1,1.51,305.2345745,25.69166667,216.5816667
Chhattisgarh,197.37,3.75,7.32,1.34,223.275,26.31666667,171.0733333
Chhattisgarh,299.22,3.55,7.38,1.46,305.2345745,26.64666667,206.6933333
Chhattisgarh,272.6,4.98,10.63,2.36,341.575,25.69166667,208.97
Chhattisgarh,272.6,5.51,12.17,2.24,256.15,26.29666667,209.3033333
Chhattisgarh,255.56,6.8,13.55,2.79,337.4,25.72833333,229.9883333
Chhattisgarh,286.71,3.84,11.42,0.84,267.0,26.13333333,189.5816667
Chhattisgarh,283.43,6.41,13.61,4.21,291.025,25.905,224.59
Chhattisgarh,266.57,10.7,20.57,3.79,240.75,26.57666667,196.315
Chhattisgarh,0.0,11.13,19.35,6.07,328.175,26.29666667,294.6133333
Chhattisgarh,250.74,12.31,19.77,4.09,245.625,25.87,192.065
Chhattisgarh,292.47,14.26,26.92,5.33,337.025,26.16833333,281.7083333
Chhattisgarh,251.16,11.22,21.96,4.58,278.075,25.83833333,198.0583333
Chhattisgarh,262.91,13.7,25.01,5.38,309.425,26.30333333,233.3133333
Chhattisgarh,190.91,15.88,23.32,6.09,337.55,26.10333333,260.4633333
Chhattisgarh,246.09,16.24,26.6,6.35,305.2345745,25.935,209.4458333
Chhattisgarh,229.02,1.44,3.38,0.38,305.2345745,25.935,209.4458333
Chhattisgarh,200.0,0.8,3.07,0.09,208.475,28.82,147.595
Chhattisgarh,266.67,0.6,2.66,0.14,311.075,28.54166667,193.5933333
Chhattisgarh,294.12,0.59,4.33,0.07,242.225,28.185,197.5266667
Chhattisgarh,294.12,2.66,5.55,0.07,221.725,27.89666667,236.0883333
Chhattisgarh,333.33,3.73,7.44,0.23,409.225,27.78166667,175.4966667
Chhattisgarh,277.78,4.55,9.38,0.33,257.2,27.19,170.695
Chhattisgarh,277.78,3.55,6.41,0.29,250.825,28.96833333,141.2766667
Chhattisgarh,300.0,3.53,8.85,0.4,303.025,28.46333333,147.9166667
Chhattisgarh,250.0,2.54,5.16,0.29,167.1,28.36833333,152.835
Chhattisgarh,285.71,1.66,5.68,0.28,270.875,28.15,245.4016667
Chhattisgarh,250.0,2.28,6.65,0.53,275.525,28.42833333,212.2066667
Chhattisgarh,304.35,2.92,6.71,0.54,268.625,28.08333333,200.7866667
Chhattisgarh,333.33,3.74,9.71,0.79,250.35,28.21333333,197.2033333
Chhattisgarh,157.89,4.02,8.46,0.94,163.35,29.06666667,204.05
Chhattisgarh,238.1,4.07,10.47,1.53,350.25,28.31166667,205.1766667
Chhattisgarh,250.0,4.62,11.2,1.22,258.9,28.24166667,239.6116667
Chhattisgarh,200.0,4.09,10.48,1.23,186.85,28.66166667,187.0316667
Chhattisgarh,315.79,3.75,10.22,1.09,229.3,28.755,229.3733333
Chhattisgarh,263.16,6.04,17.14,1.99,258.45,27.97,163.0533333
Chhattisgarh,277.78,7.83,19.26,2.37,264.525,28.39,211.8816667
Chhattisgarh,222.22,8.75,20.21,3.22,275.05,28.365,196.4783333
Chhattisgarh,294.12,10.09,22.24,3.05,182.45,28.965,160.6016667
Chhattisgarh,200.0,13.56,25.5,4.95,176.7,28.465,193.535
Chhattisgarh,222.22,15.07,30.38,5.82,266.75,28.21333333,195.1783333
Chhattisgarh,0.0,11.78,26.14,7.01,291.1,27.47333333,252.8
Chhattisgarh,0.0,13.33,23.34,5.42,238.625,28.33666667,207.8766667
Chhattisgarh,0.0,12.73,30.28,6.62,230.5,28.64833333,177.1983333
Chhattisgarh,0.0,15.23,37.56,3.95,258.575,28.615,197.96
Chhattisgarh,0.0,17.36,40.17,4.98,388.35,27.99833333,256.2866667
Chhattisgarh,0.0,17.29,40.01,4.96,234.4,28.64833333,192.035
Chhattisgarh,0.0,17.92,41.48,5.14,217.625,28.94333333,150.9433333
Chhattisgarh,0.0,18.96,45.64,6.58,252.8,28.84,157.005
Chhattisgarh,0.0,24.34,51.96,4.9,165.925,29.37,172.09
Chhattisgarh,267.86,22.17,49.59,7.63,228.3,28.31333333,197.7816667
Chhattisgarh,234.78,24.98,45.57,8.39,254.0058511,28.22,175.115
Chhattisgarh,290.6,20.87,45.02,6.65,254.0058511,28.03333333,199.63
Chhattisgarh,247.79,21.58,44.04,7.61,177.85,28.80666667,165.4933333
Chhattisgarh,299.15,18.97,40.54,6.72,254.0058511,29.00666667,207.1366667
Chhattisgarh,293.58,28.76,58.5,11.73,197.1,28.39166667,187.27
Chhattisgarh,293.58,39.83,61.56,13.03,283.5,29.14166667,189.945
Chhattisgarh,271.74,39.09,84.97,18.25,263.025,28.36666667,227.785
Chhattisgarh,280.9,45.61,88.25,25.05,341.975,28.65833333,191.2933333
Chhattisgarh,321.43,45.49,90.05,19.95,266.275,28.56666667,213.7916667
Chhattisgarh,76.92,51.33,99.79,21.26,227.6,29.39,182.875
Chhattisgarh,0.0,54.23,108.06,23.37,253.75,29.19666667,244.0566667
Chhattisgarh,301.89,57.6,123.97,23.55,297.375,28.57166667,206.1933333
Chhattisgarh,333.33,53.86,119.01,10.41,280.7,29.05,255.6716667
Chhattisgarh,294.12,52.62,112.07,14.03,315.525,28.30666667,238.755
Chhattisgarh,250.0,46.68,107.5,16.48,270.475,28.81,203.8783333
Chhattisgarh,263.16,44.73,109.49,14.13,208.1,28.75166667,218.38
Chhattisgarh,255.95,55.42,100.6,14.85,254.0058511,28.46416667,197.365
Chhattisgarh,229.17,19.36862745,41.02588235,4.96,254.0058511,28.46416667,197.365
Chhattisgarh,0.0,0.32,2.51,0.01,227.75,27.09333334,207.37875
Chhattisgarh,0.0,0.36,1.76,0.33,312.775,27.09333334,207.37875
Chhattisgarh,0.0,0.35,2.57,0.04,290.65,27.09333334,207.37875
Chhattisgarh,0.0,0.6,3.38,0.03,249.2,27.09333334,207.37875
Chhattisgarh,0.0,1.48,5.05,0.13,301.425,27.09333334,207.37875
Chhattisgarh,0.0,2.87,6.5,0.16,298.975,27.09333334,207.37875
Chhattisgarh,0.0,2.34,6.15,0.28,249.025,27.09333334,207.37875
Chhattisgarh,0.0,2.25,6.2,0.34,289.425,27.09333334,207.37875
Chhattisgarh,0.0,0.7,2.77,0.25,221.65,27.09333334,207.37875
Chhattisgarh,0.0,1.15,4.39,0.34,326.225,27.09333334,207.37875
Chhattisgarh,0.0,1.54,4.78,0.15,255.475,27.09333334,207.37875
Chhattisgarh,0.0,2.05,5.08,0.18,275.975,27.09333334,207.37875
